a.1.1.	[1, 27, 9, 128, 49]
a.1.2.	[1, 5, 1]
a.10.1.	[5]
a.10.2.	[1]
a.100.1.	[3, 1, 3, 1, 1, 3, 4, 30, 6, 2, 1, 2, 1]
a.101.1.	[5]
a.102.1.	[4, 1, 7, 3, 16, 3, 2, 2, 1, 1]
a.102.2.	[5]
a.102.3.	[6, 1]
a.102.4.	[2, 6, 3, 4, 4]
a.102.5.	[2]
a.102.6.	[1]
a.103.1.	[12, 5]
a.104.1.	[50, 26]
a.108.1.	[7]
a.109.1.	[1]
a.11.1.	[5, 4]
a.11.2.	[10, 2]
a.110.1.	[2]
a.111.1.	[1, 3, 1]
a.113.1.	[2]
a.114.1.	[1, 3]
a.115.1.	[1, 1, 1]
a.116.1.	[2, 4, 6]
a.117.1.	[1]
a.118.1.	[2, 1, 2, 3, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 10, 17, 1, 2, 3, 11, 2, 2, 3, 1, 3, 1]
a.118.11.	[1]
a.118.12.	[2]
a.118.13.	[1]
a.118.14.	[1, 3]
a.118.15.	[1]
a.118.16.	[1, 1]
a.118.17.	[2, 3, 2]
a.118.18.	[2]
a.118.19.	[2]
a.118.20.	[1]
a.118.21.	[1, 3]
a.118.22.	[1]
a.118.23.	[1]
a.118.24.	[1]
a.118.25.	[1]
a.118.26.	[2, 1]
a.118.3.	[6, 4]
a.118.4.	[1]
a.118.5.	[1]
a.118.6.	[1, 3]
a.118.7.	[12]
a.118.8.	[13, 31, 1, 1, 2, 1, 4, 2, 1]
a.118.9.	[1, 2, 6, 1, 5]
a.119.1.	[1, 4, 1]
a.12.1.	[2]
a.120.1.	[1]
a.121.1.	[37, 2]
a.123.1.	[58, 6]
a.124.1.	[2, 4, 1]
a.126.1.	[12, 9]
a.127.1.	[3, 21, 13]
a.128.1.	[3, 1, 25, 7, 1, 2]
a.129.1.	[4, 3]
a.13.1.	[3]
a.130.1.	[1, 1, 1, 5, 1]
a.131.1.	[2]
a.132.1.	[2, 6, 8, 6, 2]
a.133.1.	[3, 1, 68, 1]
a.134.1.	[2]
a.135.1.	[1]
a.136.1.	[3]
a.137.1.	[1]
a.137.10.	[1]
a.137.11.	[1]
a.137.12.	[1]
a.137.13.	[1]
a.137.14.	[1]
a.137.15.	[1]
a.137.2.	[6]
a.137.3.	[6]
a.137.4.	[1]
a.137.5.	[1]
a.137.7.	[2]
a.137.8.	[3]
a.137.9.	[2]
a.138.1.	[17, 2, 21, 6]
a.139.1.	[6, 4]
a.14.1.	[6, 2]
a.140.1.	[6]
a.140.2.	[8]
a.140.3.	[1, 2]
a.140.4.	[1]
a.140.5.	[1]
a.140.6.	[1]
a.141.1.	[2]
a.142.1.	[2]
a.143.1.	[2, 3]
a.144.1.	[1, 9]
a.144.2.	[4]
a.145.1.	[2]
a.146.1.	[2]
a.147.1.	[1]
a.148.1.	[1]
a.149.1.	[1, 3]
a.15.1.	[1]
a.150.1.	[1]
a.151.1.	[1]
a.152.1.	[6, 3, 2, 2]
a.153.1.	[4]
a.154.1.	[2]
a.155.1.	[6]
a.156.1.	[1, 8, 3]
a.157.1.	[1, 4]
a.158.1.	[5]
a.159.1.	[1]
a.159.2.	[10]
a.159.3.	[1]
a.159.4.	[1]
a.159.5.	[1]
a.16.1.	[6, 3, 4]
a.160.1.	[1, 2, 2, 1, 1, 1, 2]
a.161.1.	[3]
a.162.1.	[3]
a.163.1.	[1]
a.164.1.	[2]
a.165.1.	[2]
a.166.1.	[1]
a.168.1.	[3]
a.169.1.	[2]
a.17.1.	[1, 1]
a.170.1.	[2]
a.171.1.	[3]
a.172.1.	[3]
a.173.1.	[3]
a.174.1.	[3]
a.175.1.	[2]
a.176.1.	[1]
a.177.1.	[1, 6]
a.178.1.	[1]
a.179.1.	[1]
a.18.1.	[1]
a.180.1.	[1]
a.181.1.	[1]
a.182.1.	[1, 3]
a.183.1.	[2, 2]
a.184.1.	[5]
a.185.1.	[1]
a.186.1.	[4, 1]
a.187.1.	[1, 1]
a.188.1.	[1]
a.189.1.	[4, 1]
a.19.1.	[3]
a.190.1.	[3]
a.191.1.	[1]
a.192.1.	[1]
a.193.1.	[2]
a.194.1.	[9]
a.195.1.	[3]
a.196.1.	[1]
a.198.1.	[1]
a.199.1.	[1]
a.2.1.	[2, 1]
a.2.10.	[3]
a.2.11.	[20, 27]
a.2.12.	[4]
a.2.13.	[3]
a.2.14.	[1]
a.2.15.	[1]
a.2.16.	[3]
a.2.17.	[2, 2, 2]
a.2.18.	[1]
a.2.19.	[3]
a.2.2.	[6]
a.2.20.	[3, 1]
a.2.21.	[3]
a.2.3.	[9, 14]
a.2.5.	[2]
a.2.6.	[3]
a.2.7.	[1, 1, 1, 2, 1]
a.2.8.	[1]
a.2.9.	[2]
a.20.1.	[4, 2]
a.200.1.	[1]
a.202.1.	[2]
a.203.1.	[1]
a.204.1.	[4, 2, 5, 1, 5]
a.205.1.	[1]
a.206.1.	[1]
a.207.1.	[2]
a.208.1.	[2, 1]
a.209.1.	[2, 1]
a.21.1.	[23, 9]
a.210.1.	[1]
a.211.1.	[1, 2, 1, 11, 14, 9]
a.212.1.	[1]
a.213.1.	[1, 1, 1, 4]
a.214.1.	[1]
a.215.1.	[1]
a.216.1.	[3]
a.217.1.	[5]
a.218.1.	[2, 1]
a.219.1.	[1]
a.22.1.	[46, 4, 15, 2]
a.220.1.	[1]
a.221.1.	[1]
a.222.1.	[1]
a.223.1.	[2, 1]
a.224.1.	[1]
a.225.1.	[1]
a.226.1.	[1]
a.227.1.	[1]
a.228.1.	[1]
a.229.1.	[1]
a.23.1.	[1]
a.23.2.	[2]
a.23.3.	[2]
a.23.4.	[1]
a.23.5.	[2, 1]
a.23.6.	[1, 1]
a.23.7.	[2]
a.230.1.	[1]
a.231.1.	[1, 1]
a.232.1.	[1]
a.233.1.	[1]
a.234.1.	[1]
a.235.1.	[1]
a.236.1.	[1, 1]
a.237.1.	[4]
a.238.1.	[6, 6, 1, 2, 2]
a.239.1.	[1]
a.24.1.	[1]
a.24.10.	[1, 1, 1, 2, 3, 1, 3]
a.24.11.	[4]
a.24.12.	[3, 1]
a.24.13.	[4, 9]
a.24.14.	[3, 1]
a.24.15.	[4, 4]
a.24.16.	[1, 1, 2, 2, 1]
a.24.17.	[2]
a.24.18.	[1]
a.24.19.	[2, 3]
a.24.2.	[3, 2]
a.24.20.	[1]
a.24.21.	[1]
a.24.22.	[2]
a.24.23.	[1]
a.24.24.	[1]
a.24.25.	[1]
a.24.26.	[3]
a.24.27.	[1]
a.24.28.	[1, 1]
a.24.29.	[1, 1]
